path,name,folder,ext,lines,size_bytes
desktop/src-tauri/bundle-resources/emubro-resources/platforms/wii/config.json,config.json,desktop,json,192,6083
emubro-resources/platforms/wii/config.json,config.json,emubro-resources,json,192,6083
desktop/src-tauri/bundle-resources/emubro-resources/platforms/gcn/config.json,config.json,desktop,json,191,6084
emubro-resources/platforms/gcn/config.json,config.json,emubro-resources,json,191,6084
desktop/public/game-session-overlay.html,game-session-overlay.html,desktop,html,190,5376
desktop/src-tauri/src/app_core/invoke/community.rs,community.rs,desktop,rs,190,8095
desktop/src/stores/library-categories.js,library-categories.js,desktop,js,188,6325
js/runtime/gamepad-manager.js,gamepad-manager.js,js,js,188,7437
js/tools/cue-maker-tool.js,cue-maker-tool.js,js,js,188,8407
desktop/src-tauri/bundle-resources/emubro-resources/platforms/nes/config.json,config.json,desktop,json,186,5690
desktop/src/components/LibraryImmersiveView.vue,LibraryImmersiveView.vue,desktop,vue,186,6431
desktop/src/utils/support-library-matches.js,support-library-matches.js,desktop,js,186,4226
emubro-resources/platforms/nes/config.json,config.json,emubro-resources,json,186,5690
desktop/src-tauri/bundle-resources/emubro-resources/platforms/gba/config.json,config.json,desktop,json,184,5743
emubro-resources/platforms/gba/config.json,config.json,emubro-resources,json,184,5743
desktop/src/components/LocaleManagerPanel.vue,LocaleManagerPanel.vue,desktop,vue,183,6863
desktop/src/stores/home-hub.js,home-hub.js,desktop,js,180,5077
desktop/src/styles/_responsive.scss,_responsive.scss,desktop,scss,180,3314
js/settings/library-settings-modal/core-handlers.js,core-handlers.js,js,js,179,7602
desktop/src-tauri/bundle-resources/emubro-resources/platforms/atari-st/config.json,config.json,desktop,json,178,5376
emubro-resources/platforms/atari-st/config.json,config.json,emubro-resources,json,178,5376
desktop/src/components/GamepadTesterPanel.vue,GamepadTesterPanel.vue,desktop,vue,176,10046
desktop/src/components/LibraryBrowsePanel.vue,LibraryBrowsePanel.vue,desktop,vue,176,6517
desktop/src/stores/cover-downloader.js,cover-downloader.js,desktop,js,175,5751
js/language-manager/repo-export.js,repo-export.js,js,js,174,6037
js/tools/bios-manager-tool.js,bios-manager-tool.js,js,js,172,9041
desktop/src/components/GamepadProfilesPanel.vue,GamepadProfilesPanel.vue,desktop,vue,170,9298
desktop/src/components/RemoteLibraryPanel.vue,RemoteLibraryPanel.vue,desktop,vue,170,9165
js/language-manager/live-edit.js,live-edit.js,js,js,169,5561
